#OTU ID	258_B3	153_B3	090_subseq	074_B2	146_B1	015_B4	164_B1	024_B2
TRINITY_DN612741_c0_g1_i1	1.26	1.0	3.67	0.0	1.0	4.49	0.0	47.48
TRINITY_DN612198_c2_g1_i1	104.75	0.0	0.0	0.0	513.04	20.86	0.0	13.48
TRINITY_DN615414_c0_g1_i1	10.0	0.0	0.0	0.0	194.0	0.0	0.0	1.0
TRINITY_DN142511_c2_g2_i11	1.0	0.0	1.0	0.0	2.11	0.0	0.0	0.0
TRINITY_DN142526_c5_g1_i7	2.0	0.0	0.0	0.0	32.13	1.0	0.0	2.0
TRINITY_DN127733_c0_g2_i2	1.0	0.0	2.0	0.0	1.0	0.0	6.0	1.0
TRINITY_DN143036_c3_g1_i1	6.45	2.0	1.0	0.0	13.96	10.08	4.79	8.29
TRINITY_DN143096_c2_g1_i1	477.0	0.0	8.0	6.0	4479.25	44.31	0.0	78.98
TRINITY_DN143169_c2_g1_i6	3.71	0.0	1.0	0.0	0.0	0.0	0.0	21.46
TRINITY_DN143156_c8_g1_i3	18.0	0.0	7.46	0.0	1.0	1.0	0.0	2.0
TRINITY_DN135554_c0_g1_i3	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
TRINITY_DN135543_c0_g2_i1	29.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
TRINITY_DN144897_c3_g1_i5	0.0	0.0	25.37	1.0	0.0	12.85	1.02	14.0
TRINITY_DN144878_c1_g1_i1	10.55	1.0	14.88	71.0	19.06	9.3	8.0	16.29
TRINITY_DN142590_c2_g1_i1	2.0	1.0	5.97	0.0	0.0	0.0	2.0	0.0
TRINITY_DN142562_c4_g9_i3	12.0	0.0	3.0	0.0	0.0	26.0	0.0	13.01
TRINITY_DN136312_c3_g1_i18	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN133479_c0_g1_i1	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
TRINITY_DN145551_c2_g2_i1	2.35	89.25	127.18	0.0	0.0	10.12	0.0	5.67
TRINITY_DN145601_c1_g1_i10	2.07	0.0	0.0	0.0	291.17	2.76	0.0	2.86
TRINITY_DN145575_c0_g1_i3	6.99	0.0	0.0	0.0	11.23	3.69	0.0	0.0
TRINITY_DN145595_c1_g1_i27	23.71	0.0	0.0	0.0	82.8	44.01	0.0	56.16
TRINITY_DN145548_c0_g2_i1	1.0	2.0	0.0	0.0	3.02	7.17	2.0	0.23
TRINITY_DN145548_c1_g1_i5	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.75
TRINITY_DN145062_c3_g1_i3	15.77	0.0	0.0	0.0	13.57	0.0	0.0	0.02
TRINITY_DN145055_c3_g1_i3	50.0	0.0	0.0	0.0	136.24	1.35	0.0	0.0
TRINITY_DN145050_c1_g1_i3	2.01	16.61	1.0	49.0	0.0	15.89	0.0	394.04
TRINITY_DN133942_c0_g1_i2	1.0	0.0	0.0	0.0	7.0	1.0	0.0	9.0
TRINITY_DN140586_c3_g1_i1	19.02	0.0	0.0	0.0	1.0	13.0	0.0	0.0
TRINITY_DN142922_c7_g5_i2	0.0	0.0	1.0	0.0	16.0	2.0	0.0	1.0
TRINITY_DN142862_c0_g1_i1	1.82	174.0	1.0	51.23	0.0	14.79	0.0	49.07
TRINITY_DN102902_c0_g1_i1	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN125192_c2_g1_i1	29.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0
TRINITY_DN140335_c3_g1_i1	2.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0
TRINITY_DN144720_c1_g1_i6	0.0	0.0	0.99	0.0	0.0	0.89	0.0	1.29
TRINITY_DN144653_c7_g8_i1	305.77	55.0	36.91	0.0	406.68	79.05	213.0	17.49
TRINITY_DN144690_c1_g2_i6	13.4	4.71	0.0	0.0	79.1	21.42	0.0	68.74
TRINITY_DN144690_c1_g2_i9	37.7	0.0	5.29	0.0	175.72	40.05	12.0	122.03
TRINITY_DN144643_c3_g1_i1	7.8	0.0	0.59	0.0	22.56	19.29	0.0	2.02
TRINITY_DN144633_c0_g1_i1	1.0	0.0	1.0	0.0	1.0	5.09	2.43	25.75
TRINITY_DN144672_c0_g1_i1	1.0	0.0	3.4	3.0	8.35	1.54	2.0	8.74
TRINITY_DN144673_c2_g1_i6	4.03	0.0	0.0	0.0	418.89	0.0	0.0	3.29
TRINITY_DN145645_c0_g1_i6	0.0	4.64	0.0	0.0	3.66	0.0	0.0	5.25
TRINITY_DN145645_c0_g1_i14	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.99
TRINITY_DN145717_c0_g1_i3	3.98	0.0	3.16	1.0	0.0	0.0	0.0	0.0
TRINITY_DN145655_c4_g1_i2	44.57	0.0	2.0	28.0	0.0	25.7	1.0	70.0
TRINITY_DN139720_c6_g2_i1	1.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0
TRINITY_DN145252_c3_g1_i1	23.8	0.0	0.0	0.0	3528.85	0.0	0.0	2.17
TRINITY_DN145261_c61_g1_i4	14.48	22.0	93.9	0.0	0.0	63.49	1.0	1.32
TRINITY_DN145292_c1_g1_i1	2.76	0.0	3.07	0.0	12.28	3.37	1.21	10.15
TRINITY_DN145300_c5_g1_i3	30.9	0.0	0.0	0.75	214.06	83.02	0.0	118.19
TRINITY_DN145272_c4_g1_i1	9.0	0.0	0.0	0.0	1904.09	100.62	0.0	24.0
TRINITY_DN145304_c3_g1_i2	4.04	0.0	0.0	0.0	5.95	0.0	0.0	1.31
TRINITY_DN145297_c11_g1_i1	0.0	0.0	1.0	0.0	0.0	1.0	0.0	6.9
TRINITY_DN145245_c6_g1_i2	154.25	0.0	10.41	6.0	418.74	60.99	42.0	9.31
TRINITY_DN145245_c6_g1_i5	7.93	14.0	0.0	0.0	0.0	20.39	0.0	33.22
TRINITY_DN145291_c1_g1_i10	5.56	0.0	0.0	0.0	579.28	10.2	0.0	11.22
TRINITY_DN145291_c1_g1_i13	11.01	0.0	0.0	0.0	605.19	15.58	0.0	12.79
TRINITY_DN145291_c1_g1_i22	3.89	0.0	0.0	0.0	135.4	3.0	0.0	3.99
TRINITY_DN145264_c2_g1_i1	9.03	0.0	4.0	0.0	0.0	17.01	0.0	29.09
TRINITY_DN120464_c0_g1_i1	1.0	0.0	0.0	0.0	19.0	1.0	0.0	2.0
TRINITY_DN137096_c2_g1_i1	1.0	0.0	1.25	0.0	0.0	0.0	0.0	1.0
TRINITY_DN137096_c3_g3_i1	4.0	0.0	0.0	0.0	1.0	5.0	0.0	2.0
TRINITY_DN143985_c1_g7_i1	49.0	0.0	19.0	0.0	0.0	25.0	0.0	42.92
TRINITY_DN144001_c5_g1_i7	8.32	0.0	6.17	55.0	13.05	9.05	0.0	35.77
TRINITY_DN143974_c9_g2_i1	2.0	0.0	1.0	0.0	0.0	5.0	0.0	1.0
TRINITY_DN144025_c2_g1_i1	1.0	12.0	0.0	0.0	0.0	39.0	0.0	24.0
TRINITY_DN140448_c4_g7_i2	0.0	223.0	1.0	0.0	0.0	2.0	0.0	3.0
TRINITY_DN133076_c0_g4_i1	30.0	0.0	2.0	0.0	42.46	0.0	0.0	1.15
TRINITY_DN144424_c2_g1_i2	0.0	4.0	1.0	2.0	0.0	1.01	2.08	9.38
TRINITY_DN144415_c2_g1_i4	30.84	0.0	0.0	0.0	522.06	8.07	0.0	26.7
TRINITY_DN144384_c5_g1_i3	5.01	0.0	1.0	0.0	2.1	13.08	0.0	2.0
TRINITY_DN141948_c0_g1_i1	3.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0
TRINITY_DN134643_c0_g1_i1	1.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0
TRINITY_DN144196_c3_g1_i2	0.73	3.0	0.0	0.0	0.0	0.0	0.0	6.56
TRINITY_DN144196_c3_g1_i4	8.27	0.0	1.0	0.0	0.0	30.0	0.0	12.44
TRINITY_DN144187_c0_g1_i10	4.18	0.0	0.0	0.0	21.33	1.0	0.0	0.0
TRINITY_DN145141_c0_g1_i13	1.83	0.0	1.0	0.0	0.0	3.96	1.0	9.55
TRINITY_DN145209_c1_g1_i7	0.32	0.0	3.94	0.0	0.0	0.0	0.0	7.83
TRINITY_DN145228_c1_g1_i7	1.91	0.0	0.0	0.0	1.95	0.0	0.0	1.0
TRINITY_DN136668_c3_g2_i2	0.0	0.0	2.0	0.0	140.14	0.0	0.0	2.0
TRINITY_DN138543_c2_g6_i1	2.0	0.0	1.0	1.0	0.0	6.0	0.0	29.0
TRINITY_DN138543_c2_g6_i2	2.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0
TRINITY_DN142388_c1_g1_i2	3.0	4.0	5.0	0.0	0.0	2.72	0.0	6.04
TRINITY_DN142340_c0_g1_i1	1.23	0.0	0.0	0.0	6.84	1.04	0.0	2.51
TRINITY_DN142402_c3_g5_i2	27.9	0.0	4.0	0.0	0.0	26.0	0.0	12.21
TRINITY_DN143487_c2_g1_i3	0.0	0.0	1.0	0.0	0.79	3.98	0.0	2.0
TRINITY_DN143457_c1_g1_i1	5.0	0.0	1.0	0.0	8.0	0.0	13.0	0.0
TRINITY_DN141022_c2_g2_i1	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
TRINITY_DN140952_c1_g1_i1	0.0	0.0	2.23	0.0	0.0	1.98	0.0	4.9
TRINITY_DN138674_c4_g1_i1	14.0	249.0	0.0	31.0	0.0	422.0	0.0	6.0
TRINITY_DN138681_c7_g1_i1	2.0	57.0	0.0	0.0	0.0	52.0	0.0	5.0
TRINITY_DN145391_c5_g1_i6	3.73	0.29	0.0	0.0	0.0	7.86	0.0	8.64
TRINITY_DN145391_c5_g1_i9	8.38	8.05	0.0	0.0	125.58	0.0	0.0	0.0
TRINITY_DN145389_c1_g1_i12	2.0	0.0	6.77	0.0	0.56	0.0	0.0	0.0
TRINITY_DN145360_c4_g1_i1	182.22	0.0	0.0	4.0	13.23	15.18	2.0	6.0
TRINITY_DN145367_c3_g1_i1	49.0	15.0	0.0	0.0	0.0	18.0	13.0	8.0
TRINITY_DN145422_c2_g1_i12	0.0	0.0	2.13	0.0	5.57	1.94	0.0	1.04
TRINITY_DN145373_c0_g1_i2	2.13	0.0	4.53	0.0	0.0	2.03	0.0	2.05
TRINITY_DN145401_c1_g1_i2	18.25	0.0	8.85	0.0	197.86	51.57	0.0	35.29
TRINITY_DN145854_c3_g1_i2	13.4	3.97	1.0	0.0	105.01	40.79	0.0	37.23
TRINITY_DN145839_c0_g1_i20	4.8	0.0	0.0	0.0	618.06	1.18	0.0	3.88
TRINITY_DN141075_c3_g1_i1	4.0	0.0	0.0	25.15	1.0	38.82	0.0	17.21
TRINITY_DN141075_c3_g1_i2	0.0	0.0	1.0	1.85	0.0	4.18	0.0	7.79
TRINITY_DN144474_c1_g1_i1	0.0	0.0	7.02	0.0	0.0	2.12	0.0	1.96
TRINITY_DN144465_c6_g1_i3	26.46	0.0	1.06	0.0	2.02	12.43	0.0	37.12
TRINITY_DN144518_c0_g1_i3	0.0	0.0	1.0	0.0	28.63	1.3	0.0	4.74
TRINITY_DN144483_c7_g1_i1	10.0	19.0	0.0	0.0	0.0	25.2	9.0	0.0
TRINITY_DN144291_c5_g7_i1	21.52	0.0	0.0	0.0	1046.5	8.98	0.0	18.98
TRINITY_DN141713_c1_g2_i1	2.0	7.0	0.0	0.0	0.0	11.31	0.0	0.0
TRINITY_DN141713_c1_g2_i3	0.0	0.0	1.0	8.0	0.0	3.69	0.0	0.0
TRINITY_DN131149_c0_g2_i1	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0
TRINITY_DN131100_c0_g1_i5	4.0	0.0	0.0	0.0	2.62	2.0	0.0	0.0
TRINITY_DN129538_c3_g1_i1	0.0	3.0	2.0	0.0	0.0	5.0	0.0	1.0
TRINITY_DN134571_c44_g1_i3	746.87	7.67	139.24	53.79	741.13	62.92	328.25	212.02
TRINITY_DN144747_c1_g1_i4	0.0	0.0	4.99	0.0	0.0	3.07	0.0	2.0
TRINITY_DN144771_c2_g7_i2	39.77	0.0	11.0	0.0	0.0	1.58	159.0	33.47
TRINITY_DN144754_c1_g1_i1	3.99	0.0	0.0	0.0	2.0	0.64	5.0	18.99
TRINITY_DN144811_c2_g1_i1	1.11	0.0	2.99	0.0	0.0	0.0	0.0	9.92
