transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN612741_c0_g1_i1	48	1	5	2	2	2
TRINITY_DN612198_c2_g1_i1	14	1	1	514	1	106
TRINITY_DN615414_c0_g1_i1	2	1	1	195	1	11
TRINITY_DN142511_c2_g2_i11	1	1	2	3	1	2
TRINITY_DN142526_c5_g1_i7	3	1	1	33	1	3
TRINITY_DN127733_c0_g2_i2	2	1	3	2	1	2
TRINITY_DN143036_c3_g1_i1	9	1	2	15	3	7
TRINITY_DN143096_c2_g1_i1	80	7	9	4480	1	478
TRINITY_DN143169_c2_g1_i6	22	1	2	1	1	5
TRINITY_DN143156_c8_g1_i3	3	1	8	2	1	19
TRINITY_DN135554_c0_g1_i3	3	1	3	1	1	2
TRINITY_DN135543_c0_g2_i1	2	1	3	1	1	30
TRINITY_DN144897_c3_g1_i5	15	2	26	1	1	1
TRINITY_DN144878_c1_g1_i1	17	72	16	20	2	12
TRINITY_DN142590_c2_g1_i1	1	1	7	1	2	3
TRINITY_DN142562_c4_g9_i3	14	1	4	1	1	13
TRINITY_DN136312_c3_g1_i18	1	1	2	2	1	2
TRINITY_DN133479_c0_g1_i1	2	1	1	4	1	3
TRINITY_DN145551_c2_g2_i1	7	1	128	1	90	3
TRINITY_DN145601_c1_g1_i10	4	1	1	292	1	3
TRINITY_DN145575_c0_g1_i3	1	1	1	12	1	8
TRINITY_DN145595_c1_g1_i27	57	1	1	84	1	25
TRINITY_DN145548_c0_g2_i1	1	1	1	4	3	2
TRINITY_DN145548_c1_g1_i5	5	1	2	1	1	1
TRINITY_DN145062_c3_g1_i3	1	1	1	15	1	17
TRINITY_DN145055_c3_g1_i3	1	1	1	137	1	51
TRINITY_DN145050_c1_g1_i3	395	50	2	1	18	3
TRINITY_DN133942_c0_g1_i2	10	1	1	8	1	2
TRINITY_DN140586_c3_g1_i1	1	1	1	2	1	20
TRINITY_DN142922_c7_g5_i2	2	1	2	17	1	1
TRINITY_DN142862_c0_g1_i1	50	52	2	1	175	3
TRINITY_DN102902_c0_g1_i1	1	1	1	4	1	2
TRINITY_DN125192_c2_g1_i1	1	1	1	2	1	30
TRINITY_DN140335_c3_g1_i1	3	3	1	1	1	3
TRINITY_DN144720_c1_g1_i6	2	1	2	1	1	1
TRINITY_DN144653_c7_g8_i1	18	1	38	408	56	307
TRINITY_DN144690_c1_g2_i6	70	1	1	80	6	14
TRINITY_DN144690_c1_g2_i9	123	1	6	177	1	39
TRINITY_DN144643_c3_g1_i1	3	1	2	24	1	9
TRINITY_DN144633_c0_g1_i1	27	1	2	2	1	2
TRINITY_DN144672_c0_g1_i1	10	4	4	9	1	2
TRINITY_DN144673_c2_g1_i6	4	1	1	420	1	5
TRINITY_DN145645_c0_g1_i6	6	1	1	5	6	1
TRINITY_DN145645_c0_g1_i14	2	1	2	2	1	1
TRINITY_DN145717_c0_g1_i3	1	2	4	1	1	5
TRINITY_DN145655_c4_g1_i2	71	29	3	1	1	46
