transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN145857_c2_g1_i5	452	945	346	435	217	483
TRINITY_DN134571_c44_g1_i3	212	54	139	741	8	747
TRINITY_DN143867_c81_g1_i4	105	117	46	1114	1	97
TRINITY_DN145422_c2_g1_i16	298	6	26	20	19	441
TRINITY_DN144440_c1_g1_i2	7	316	76	14	69	53
TRINITY_DN383713_c2_g1_i1	1	18	44	22	7	410
TRINITY_DN144616_c7_g3_i6	27	3	4	137	2	117
TRINITY_DN144746_c5_g1_i1	37	5	38	6	127	8
TRINITY_DN143402_c2_g1_i6	4	63	3	70	32	5
TRINITY_DN144878_c1_g1_i1	16	71	15	19	1	11
TRINITY_DN141259_c3_g4_i3	18	9	2	25	17	39
TRINITY_DN145462_c0_g1_i9	13	1	2	22	1	28
TRINITY_DN145289_c1_g1_i1	1	1	6	1	3	3
TRINITY_DN145036_c19_g2_i1	98	3	6	8316	0	21
TRINITY_DN143096_c2_g1_i1	79	6	8	4479	0	477
TRINITY_DN145036_c19_g2_i2	1	5	12	3283	0	5
TRINITY_DN143867_c72_g1_i3	298	2054	260	0	129	425
TRINITY_DN145245_c6_g1_i2	9	6	10	419	0	154
TRINITY_DN145050_c1_g1_i3	394	49	1	0	17	2
TRINITY_DN134571_c44_g1_i1	63	21	25	46	0	229
TRINITY_DN143383_c0_g7_i3	43	7	4	241	0	46
TRINITY_DN142862_c0_g1_i1	49	51	1	0	174	2
TRINITY_DN145220_c3_g1_i7	9	15	1	177	0	3
TRINITY_DN144616_c7_g3_i15	37	19	3	70	0	60
TRINITY_DN141619_c2_g1_i5	1	2	112	7	0	11
TRINITY_DN145323_c2_g1_i1	6	61	8	17	0	41
TRINITY_DN139162_c6_g4_i3	6	1	4	65	0	47
TRINITY_DN143867_c72_g1_i2	2	49	25	0	5	38
TRINITY_DN144001_c5_g1_i7	36	55	6	13	0	8
TRINITY_DN143899_c4_g1_i2	8	27	8	11	0	43
TRINITY_DN612476_c4_g1_i1	2	2	5	1	0	75
TRINITY_DN30312_c0_g1_i2	5	1	2	22	0	23
TRINITY_DN145462_c0_g1_i7	24	1	1	3	0	22
TRINITY_DN144672_c0_g1_i1	9	3	3	8	0	1
TRINITY_DN133023_c1_g2_i1	1	3	2	5	0	1
TRINITY_DN145589_c0_g1_i5	8	219	33	0	0	17
TRINITY_DN145558_c2_g1_i3	2	1	1	144	0	0
TRINITY_DN145655_c4_g1_i2	70	28	2	0	0	45
TRINITY_DN147836_c1_g1_i1	66	6	10	0	0	6
TRINITY_DN143335_c2_g2_i1	14	35	1	0	26	0
TRINITY_DN142228_c6_g1_i1	25	42	1	0	0	2
TRINITY_DN144626_c2_g1_i3	5	5	2	48	0	0
TRINITY_DN137258_c5_g1_i6	9	21	1	0	0	28
TRINITY_DN145419_c1_g1_i2	2	4	1	47	0	0
TRINITY_DN140720_c2_g2_i2	1	3	2	0	0	32
TRINITY_DN138543_c2_g6_i1	29	1	1	0	0	2
TRINITY_DN145735_c4_g1_i1	9	3	1	0	0	8
TRINITY_DN144424_c2_g1_i2	9	2	1	0	4	0
TRINITY_DN140278_c0_g1_i1	2	2	4	0	0	4
TRINITY_DN135950_c1_g1_i1	3	2	1	0	0	1
TRINITY_DN145418_c1_g1_i2	22	22	2	0	0	0
TRINITY_DN144897_c3_g1_i5	14	1	25	0	0	0
