sample	OB1	OB2	OB3	OMS1	OMS2	OMS3
AMP_145857_c2_g1_i5	453.44	946.21	347.38	436.24	217.6	483.84
AMP_134571_c44_g1_i3	213.02	54.79	140.24	742.13	8.67	747.87
AMP_143867_c81_g1_i4	105.69	118	46.89	1114.78	2	97.8
AMP_145422_c2_g1_i16	299.32	6.73	26.52	20.78	20.24	442.1
AMP_144440_c1_g1_i2	7.92	316.54	77.2	15.03	70.47	54.16
AMP_383713_c2_g1_i1	2.02	19.01	44.69	23.18	7.54	410.7
AMP_144616_c7_g3_i6	28.15	4	5	138	2.99	118.26
AMP_144746_c5_g1_i1	37.97	6	38.66	7	128	8.8
AMP_143402_c2_g1_i6	5	64	4	70.82	33	6
AMP_144878_c1_g1_i1	17.29	72	15.88	20.06	2	11.55
AMP_141259_c3_g4_i3	19.04	10.42	3.24	25.82	18.01	40.42
AMP_145462_c0_g1_i9	13.81	2.07	2.93	23.06	2	28.95
AMP_145289_c1_g1_i1	1.69	2	7.46	2	3.94	4.25
