sample	OB1	OB2	OB3	OMS1	OMS2	OMS3
AMP_145418_c1_g1_i2	23	23	3	1	1	1
AMP_138200_c2_g1_i1	1	32	3	1	1	1
AMP_144897_c3_g1_i5	15	2	26	1	1	1
AMP_142228_c6_g1_i1	26	43	2	1	1	3
AMP_145547_c6_g1_i1	14	1	16	1617	1	201
AMP_143096_c2_g1_i1	80	7	9	4480	1	478
AMP_140597_c1_g8_i2	1	3	1	180	1	14
AMP_144119_c3_g1_i2	1	1	1	1	9	18
AMP_142823_c1_g1_i2	1	1	1	1	14	5
AMP_138484_c2_g1_i1	1	1	1	2	16	3
AMP_143018_c49_g12_i1	1	1	1	1	2	59
AMP_143863_c3_g1_i1	1	1	1	67	1	2
AMP_142424_c1_g1_i2	1	1	1	2	1	72
AMP_144483_c7_g1_i1	1	1	1	1	20	11
AMP_141567_c4_g1_i3	1	1	1	3	29	2
AMP_615414_c0_g1_i1	2	1	1	195	1	11
AMP_851511_c0_g1_i1	1	1	1	1	36	5
AMP_141904_c4_g1_i1	1	1	1	1	42	2
AMP_145391_c5_g1_i9	1	1	1	127	9	9
AMP_145055_c3_g1_i3	1	1	1	137	1	51
