amp_id	OB1	OB2	OB3	OMS1	OMS2	OMS3
group	Ob	Ob	Ob	OMS	OMS	OMS
AMP_125192_c2_g1_i1	1	1	1	2	1	30
AMP_145575_c0_g1_i3	1	1	1	12	1	8
AMP_142823_c1_g1_i2	1	1	1	1	14	5
AMP_144624_c4_g1_i1	1	1	1	15	1	15
AMP_145062_c3_g1_i3	1	1	1	15	1	17
AMP_142526_c5_g1_i7	3	1	1	33	1	3
AMP_144187_c0_g1_i10	1	1	1	22	1	5
AMP_142115_c6_g1_i3	2	1	2	1	32	1
AMP_133076_c0_g4_i1	2	1	3	43	1	31
AMP_144483_c7_g1_i1	1	1	1	1	20	11
AMP_144653_c7_g8_i1	18	1	38	408	56	307
AMP_7230_c1_g2_i2	5	1	3	1	70	9
AMP_138681_c7_g1_i1	6	1	1	1	58	3
AMP_145245_c6_g1_i2	10	7	11	420	1	155
AMP_851511_c0_g1_i1	1	1	1	1	36	5
AMP_145391_c5_g1_i9	1	1	1	127	9	9
AMP_145055_c3_g1_i3	1	1	1	137	1	51
AMP_612198_c2_g1_i1	14	1	1	514	1	106
AMP_143096_c2_g1_i1	80	7	9	4480	1	478
