tax.id	count
Anaerobutyricum hallii	3.0
Anaerostipes hadrus	5.0
Bacteria	8.0
Bacteroidaceae	1.0
Bacteroidales	2.0
Bacteroides caccae	1.0
Bacteroides xylanisolvens	1.0
Bacteroides	26.0
Barnesiella viscericola	1.0
Bifidobacterium	2.0
Blautia argi	2.0
Blautia obeum	2.0
Caudovirales	3.0
Christensenella sp. MSJ-20	1.0
Clostridiaceae bacterium Marseille-Q4143	4.0
Clostridiaceae	1.0
Clostridium sp. CT4	1.0
Clostridium	4.0
Coprococcus comes	2.0
Dysosmobacter sp. Marseille-Q4140	1.0
Eggerthella lenta	1.0
Eggerthella	1.0
Escherichia coli	1.0
Eubacteriales	35.0
Faecalibacterium prausnitzii	115.0
Firmicutes	1.0
Flavonifractor plautii	1.0
Lachnospiraceae bacterium NSJ-29	1.0
Lachnospiraceae bacterium	4.0
Lachnospiraceae	8.0
Lactobacillales	1.0
Myoviridae sp.	3.0
NCBI	41.0
Not assigned	13.0
Odoribacter splanchnicus	1.0
Opuntia virus 2	1.0
Oscillospiraceae	3.0
Parabacteroides	8.0
Paraprevotella xylaniphila	4.0
Peptostreptococcaceae	1.0
Phage sp. ctXnn1	1.0
Phocaeicola vulgatus	1.0
Phocaeicola	18.0
Pusillimonas faecalis	1.0
Romboutsia ilealis	1.0
Romboutsia	2.0
Roseburia hominis	2.0
Roseburia intestinalis	3.0
Ruminococcus bicirculans	2.0
Ruthenibacterium lactatiformans	2.0
Sarcina sp. JB2	1.0
Siphoviridae sp.	7.0
Streptococcus	1.0
Sutterella wadsworthensis	1.0
Terrisporobacter sp. MCA3	1.0
Veillonella	1.0
Vescimonas fastidiosa	1.0
[Clostridium] scindens	2.0
[Ruminococcus] gnavus	2.0
[Ruminococcus] torques	3.0
unclassified Lachnospiraceae	12.0
uncultured Blautia sp.	1.0
uncultured Sutterella sp.	1.0
uncultured human fecal virus	7.0
