tax.id	count
Faecalibacterium prausnitzii	58
Faecalibacterium sp.	27
Uncultured human fecal virus clone	10
Phocaeicola vulgatus	8
Bacteroides dorei	6
Parabacteroides merdae	5
Siphoviridae sp.	5
Bacteroides xylanisolvens	4
Dorea longicatena	4
Bacteroides ovatus	3
Blautia wexlerae	3
Faecalibacterium duncaniae	3
Lachnospiraceae bacterium	3
Myoviridae sp.	3
Romboutsia ilealis	3
Bifidobacterium pseudocatenulatum	2
Caudovirales sp.	2
Eubacterium eligens	2
Eubacterium sp.	2
Parabacteroides johnsonii	2
Pseudoclostridium thermosuccinogenes	2
Ruminococcus bicirculans	2
Ruminococcus sp.	2
Ruminococcus torques	2
Subdoligranulum variabile	2
Uncultured bacterium clone	2
Others (low abundance)	26
