"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN143036_c3_g1_i1"	-0.885714285714286	0.0188454810495626
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN145575_c0_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN145575_c0_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN145575_c0_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN145575_c0_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN145548_c0_g2_i1"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium"	"TRINITY_DN145548_c0_g2_i1"	0.819688599970537	0.0458371412324534
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN145548_c0_g2_i1"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__"	"TRINITY_DN145548_c0_g2_i1"	0.819688599970537	0.0458371412324534
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN145548_c1_g1_i5"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN145548_c1_g1_i5"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN145548_c1_g1_i5"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN145548_c1_g1_i5"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN145062_c3_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN145062_c3_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN145062_c3_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN145055_c3_g1_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN145055_c3_g1_i3"	0.845154254728517	0.0341094231674095
