"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN143036_c3_g1_i1"	-0.857142857142857	0.00653001725471536
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN145548_c0_g2_i1"	-0.951876318105963	0.000268663259848312
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium"	"TRINITY_DN145548_c0_g2_i1"	0.879581914199181	0.00398055887902271
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN145548_c0_g2_i1"	-0.951876318105963	0.000268663259848312
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__"	"TRINITY_DN145548_c0_g2_i1"	0.879581914199181	0.00398055887902271
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN144690_c1_g2_i9"	-0.826362120720149	0.0114427649999413
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN144063_c5_g2_i1"	0.850314645958414	0.00747141463995349
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN144063_c5_g2_i1"	0.826362120720149	0.0114427649999413
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN144897_c3_g1_i5"	-0.829515062006253	0.0108579547287211
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN144897_c3_g1_i5"	-0.829515062006253	0.0108579547287211
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN144897_c3_g1_i5"	-0.829515062006253	0.0108579547287211
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN144690_c1_g2_i6"	-0.80511756018254	0.0159045622916614
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144823_c1_g2_i1"	-0.87831006565368	0.0041039337200317
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144823_c1_g2_i1"	-0.87831006565368	0.0041039337200317
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144823_c1_g2_i1"	-0.87831006565368	0.0041039337200317
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144823_c1_g2_i1"	-0.87831006565368	0.0041039337200317
