sequence	Net charge at pH 7
TRINITY_DN102902_c0_g1_i1.p4 TRINITY_DN102902_c0_g1~~TRINITY_DN102902_c0_g1_i1.p4  ORF type:3prime_partial len:16 (-),score=3.25 TRINITY_DN102902_c0_g1_i1:2-46(-)	3.4953596825463404
TRINITY_DN1090249_c1_g1_i1.p3 TRINITY_DN1090249_c1_g1~~TRINITY_DN1090249_c1_g1_i1.p3  ORF type:5prime_partial len:13 (+),score=1.79 TRINITY_DN1090249_c1_g1_i1:1-39(+)	-0.2369761637966441
TRINITY_DN1091132_c10_g1_i1.p3 TRINITY_DN1091132_c10_g1~~TRINITY_DN1091132_c10_g1_i1.p3  ORF type:complete len:31 (-),score=6.23 TRINITY_DN1091132_c10_g1_i1:132-224(-)	5.664575533327714
TRINITY_DN120464_c0_g1_i1.p6 TRINITY_DN120464_c0_g1~~TRINITY_DN120464_c0_g1_i1.p6  ORF type:5prime_partial len:10 (+),score=2.44 TRINITY_DN120464_c0_g1_i1:3-32(+)	1.7599150731655104
TRINITY_DN125192_c2_g1_i1.p8 TRINITY_DN125192_c2_g1~~TRINITY_DN125192_c2_g1_i1.p8  ORF type:complete len:10 (-),score=1.63 TRINITY_DN125192_c2_g1_i1:310-339(-)	1.499345686642343
TRINITY_DN127733_c0_g2_i2.p2 TRINITY_DN127733_c0_g2~~TRINITY_DN127733_c0_g2_i2.p2  ORF type:5prime_partial len:54 (+),score=5.42 TRINITY_DN127733_c0_g2_i2:3-164(+)	-1.1087611379408422
TRINITY_DN129538_c3_g1_i1.p10 TRINITY_DN129538_c3_g1~~TRINITY_DN129538_c3_g1_i1.p10  ORF type:complete len:12 (-),score=3.91 TRINITY_DN129538_c3_g1_i1:483-518(-)	0.5011671475165533
TRINITY_DN130289_c0_g1_i1.p1 TRINITY_DN130289_c0_g1~~TRINITY_DN130289_c0_g1_i1.p1  ORF type:complete len:76 (+),score=14.05 TRINITY_DN130289_c0_g1_i1:29-229(+)	0.5101596713046526
TRINITY_DN131100_c0_g1_i5.p3 TRINITY_DN131100_c0_g1~~TRINITY_DN131100_c0_g1_i5.p3  ORF type:5prime_partial len:25 (+),score=1.00 TRINITY_DN131100_c0_g1_i5:1-75(+)	-2.0730877175800004
TRINITY_DN131149_c0_g2_i1.p2 TRINITY_DN131149_c0_g2~~TRINITY_DN131149_c0_g2_i1.p2  ORF type:5prime_partial len:36 (-),score=3.88 TRINITY_DN131149_c0_g2_i1:461-568(-)	3.8442687995468865
TRINITY_DN131424_c0_g1_i4.p5 TRINITY_DN131424_c0_g1~~TRINITY_DN131424_c0_g1_i4.p5  ORF type:5prime_partial len:7 (+),score=1.04 TRINITY_DN131424_c0_g1_i4:1-21(+)	0.9575298665793545
TRINITY_DN131740_c0_g1_i1.p1 TRINITY_DN131740_c0_g1~~TRINITY_DN131740_c0_g1_i1.p1  ORF type:complete len:82 (+),score=8.49 TRINITY_DN131740_c0_g1_i1:94-339(+)	11.476844181644793
TRINITY_DN133076_c0_g4_i1.p5 TRINITY_DN133076_c0_g4~~TRINITY_DN133076_c0_g4_i1.p5  ORF type:complete len:27 (+),score=4.93 TRINITY_DN133076_c0_g4_i1:151-231(+)	-0.32226295389458626
TRINITY_DN133276_c1_g1_i1.p5 TRINITY_DN133276_c1_g1~~TRINITY_DN133276_c1_g1_i1.p5  ORF type:complete len:49 (+),score=4.93 TRINITY_DN133276_c1_g1_i1:319-465(+)	12.49081307616995
TRINITY_DN133479_c0_g1_i1.p5 TRINITY_DN133479_c0_g1~~TRINITY_DN133479_c0_g1_i1.p5  ORF type:5prime_partial len:16 (+),score=2.52 TRINITY_DN133479_c0_g1_i1:2-49(+)	0.758103612191301
TRINITY_DN133942_c0_g1_i2.p6 TRINITY_DN133942_c0_g1~~TRINITY_DN133942_c0_g1_i2.p6  ORF type:complete len:8 (+),score=3.83 TRINITY_DN133942_c0_g1_i2:151-174(+)	1.498478445484187
TRINITY_DN134023_c3_g2_i2.p3 TRINITY_DN134023_c3_g2~~TRINITY_DN134023_c3_g2_i2.p3  ORF type:complete len:47 (+),score=2.86 TRINITY_DN134023_c3_g2_i2:191-331(+)	6.66241099010592
TRINITY_DN134571_c44_g1_i3.p7 TRINITY_DN134571_c44_g1~~TRINITY_DN134571_c44_g1_i3.p7  ORF type:complete len:12 (+),score=1.33 TRINITY_DN134571_c44_g1_i3:212-247(+)	-0.4996453124586552
TRINITY_DN134643_c0_g1_i1.p1 TRINITY_DN134643_c0_g1~~TRINITY_DN134643_c0_g1_i1.p1  ORF type:5prime_partial len:69 (-),score=11.24 TRINITY_DN134643_c0_g1_i1:55-261(-)	6.843063257724089
TRINITY_DN135543_c0_g2_i1.p1 TRINITY_DN135543_c0_g2~~TRINITY_DN135543_c0_g2_i1.p1  ORF type:5prime_partial len:57 (-),score=9.58 TRINITY_DN135543_c0_g2_i1:124-294(-)	2.7741061222302967
TRINITY_DN135554_c0_g1_i3.p9 TRINITY_DN135554_c0_g1~~TRINITY_DN135554_c0_g1_i3.p9  ORF type:5prime_partial len:6 (-),score=0.85 TRINITY_DN135554_c0_g1_i3:230-247(-)	-0.24189638780869938
TRINITY_DN135950_c1_g1_i1.p9 TRINITY_DN135950_c1_g1~~TRINITY_DN135950_c1_g1_i1.p9  ORF type:5prime_partial len:13 (-),score=3.05 TRINITY_DN135950_c1_g1_i1:323-361(-)	4.4551514542225945
TRINITY_DN136118_c0_g1_i1.p1 TRINITY_DN136118_c0_g1~~TRINITY_DN136118_c0_g1_i1.p1  ORF type:complete len:45 (+),score=5.71 TRINITY_DN136118_c0_g1_i1:78-212(+)	6.486352912763379
TRINITY_DN136156_c0_g2_i2.p9 TRINITY_DN136156_c0_g2~~TRINITY_DN136156_c0_g2_i2.p9  ORF type:5prime_partial len:11 (-),score=3.83 TRINITY_DN136156_c0_g2_i2:400-432(-)	2.75891607216651
