sequence	group	GRAVY index	Net charge at pH 7
TRINITY_DN138200_c2_g1_i1.p2	Ob	-0.413888889	6.471451157
TRINITY_DN141075_c3_g1_i1.p9	Ob	-1.7	3.457961916
TRINITY_DN143020_c3_g1_i1.p2	Ob	0.15	3.761127594
TRINITY_DN143683_c0_g2_i1.p14	Ob	-0.016666667	0.499355687
TRINITY_DN144897_c3_g1_i5.p10	Ob	-1.722222222	1.501157148
TRINITY_DN385865_c1_g1_i1.p3	Ob	-0.792	0.763135596
TRINITY_DN125192_c2_g1_i1.p8	OMS	0.277777778	1.499345687
TRINITY_DN133076_c0_g4_i1.p5	OMS	-0.823076923	-0.322262954
TRINITY_DN138681_c7_g1_i1.p3	OMS	-0.751515152	6.748965083
TRINITY_DN142115_c6_g1_i3.p7	OMS	-0.444444444	-0.499523553
TRINITY_DN142526_c5_g1_i7.p5	OMS	0.4	1.75610561
TRINITY_DN142823_c1_g1_i2.p2	OMS	-0.323809524	1.926037556
TRINITY_DN143096_c2_g1_i1.p6	OMS	-1.553846154	5.753098607
TRINITY_DN144187_c0_g1_i10.p9	OMS	-3.357142857	0.760036833
TRINITY_DN144483_c7_g1_i1.p5	OMS	0.628571429	-0.327294938
TRINITY_DN144624_c4_g1_i1.p5	OMS	0.557142857	1.499345687
TRINITY_DN144653_c7_g8_i1.p24	OMS	-2.2	-4.485854887
TRINITY_DN145055_c3_g1_i3.p7	OMS	0.02	-0.499523553
TRINITY_DN145062_c3_g1_i3.p10	OMS	-3.74	1.833830616
TRINITY_DN145245_c6_g1_i2.p2	OMS	-0.010344828	1.758448892
TRINITY_DN145391_c5_g1_i9.p5	OMS	-2.577777778	0.50396761
TRINITY_DN145575_c0_g1_i3.p4	OMS	-1.677777778	0.502156149
TRINITY_DN612198_c2_g1_i1.p1	OMS	-1.541463415	3.938045111
TRINITY_DN7230_c1_g2_i2.p9	OMS	-1.0625	0.502978608
TRINITY_DN851511_c0_g1_i1.p12	OMS	1.328571429	-0.499645312
