sequence	Net charge at pH 7
00028|Tricyclic peptide RP 71955 (a class 1 lasso peptide, 2S=S; lactam; XXJ; UCSB1a; bacteriocins; Gram-positive bacteria, prokaryotes, ZZHb)	-1.2793805862658933
00035|Plantaricin A (PlnA, bacteriocin/pheromone, Gram-positive bacteria, prokaryotes; Other truncated forms: PlnA 23-mer;  PlnA 22-mer)	5.753108607196298
00145|Carnobacteriocin B2 (Cbn B2, class 2a bacteriocin, Gram-positive bacteria, prokaryotes; 1S=S, UCSS1a, JJsn)	3.712970868034336
00199|Leucocin A (LeuA, leucocin A-UAL187, leucocin A-QU15, leucocin BTa11a, and leucocin B-KM432Bz, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	1.913452468577662
00204|Nisin Z  (lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT5; XXW3; UCSS1b; Variants: Nisin ZP)	2.794773848951838
00205|Nisin A  (NisaplinTM, ChrisinTM, food additive E234; lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT5; XXW3; UCSS1b; ZZS; BBW; BBMm; JJsn; Variants: nisin AP)	2.8819480372064246
00206|Subtilin (lantibiotic, class 1 bacteriocin,Gram-positive bacteria, prokaryotes; XXT5; XXW3;  UCSS1b; BBW)	1.7104101226704609
00207|Pep5  (Lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT3;  UCSS1b; XXW3)	7.362479618275591
00480|Microcin J25 (MccJ25, formerly microcin 25, Mcc25; Gly-rich;  lactam; a class 2 lasso peptide; class 1 microcins, bacteriocins, Gram-negative bacteria, prokaryotes; XXJ; UCSB1a; BBpol; revisited)	-1.1519117375809023
00499|Gramicidin A (gA, Trp-rich; Val-rich; Leu-rich; Gram-positive bacteria, prokaryotes; nonribosomally synthesized peptide antibiotic; UCLL2; ZZHb; ZZS; XXD5; BBMm)	-0.26601161004484764
00529|Ericin S (lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT5;  UCSS1b; XXW2)	0.7985833119240486
00530|Ericin A  (Lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT5;  UCSS1b; XXW1)	1.6814864364631004
00590|Siamycin II (BMY-29303,  lactam;  a class 1 lasso peptide, 2S=S; XXJ; UCSB1a; bacteriocins, Gram-positive bacteria, prokaryotes; ZZHb)	-1.2793805862658933
00594|Lactococcin 972 (Lcn972, homodimer; bacteriocin, Gram-positive bacteria, prokaryotes; BBW)	4.180434585938384
00631|Mundticin ATO6 (class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	3.7344273879381213
00632|Piscicolin 126 / Piscicocin Via (PiscV1a, Pisc126, PisA, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	2.7354263889371224
00633|Sakacin P/ Sakacin 674 (SakP, pediocin-like class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	1.9107737664452968
00634|Pediocin PA-1/ AcH (PedPA1, Pediocin CP2; class 2a bacteriocin, Gram-positive bacteria, prokaryotes; 2S=S, UCSS1a; Products: fermented ALTA 2341®; freeze-dried culture CHOOZIT™ FLAV 43)	2.977146973502863
00635|Mesentericin Y105 (MesY105, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	1.913452468577662
00636|Carnobacteriocin BM1 (Cbn BM1, PiscV1b, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	1.862873713863069
00637|Curvacin A / sakacin A (CurA, SakA, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	2.7748670658332713
00673|Streptin 1 (lantibiotic,  type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT;  UCSS1b; streptin 2)	2.7012784167611192
00674|Planosporicin (Lantibiotic 97518; type 1, class 1 bacteriocin, Gram-positive bacteria, prokaryotes; XXT5; XXW2;  UCSS1b; revisited)	-1.1994186860779497
00726|Acidocin LCHV (bacteriocin, bacteria, prokaryotes; UCLL1a)	-0.23989838581069733
00766|Gassericin A (GaaA; XXC, UCBB1a; reutericin 6, class 2c circular bacteriocin, Gram-positive bacteria, prokaryotes; revisited)	-0.15249067757442392
00767|Circularin A (CirA; XXC, UCBB1a; class 2c circular bacteriocin, Gram-positive bacteria, prokaryotes)	3.7299823860591474
00768|Closticin 574 (class 2c circular bacteriocin, Gram-positive bacteria, prokaryotes; XXC; UCBB1b; ?1S=S)	5.026153912538754
00807|Enterocin E-760 (bacteriocin, Gram-positive bacteria, prokaryotes)	2.819990212272484
00841|Enterocin A (EntA, bacteriocin N15; class 2a bacteriocin, i.e. pediocin-like peptide, Gram-positive bacteria, prokaryotes)	3.438895575173013
00842|Divercin V41 (DvnV41, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes. DvnRV41 is the recombinant form)	2.3527203879174268
00843|Divergicin M35 (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	2.35284214785827
00844|Coagulin (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	2.977146973502863
00845|Listeriocin 743A (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	3.8226005771917095
00846|Mundticin KS (enterocin CRL35, mundticin QU2, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	3.7344273879381213
00847|Sakacin 5X (Sak5X, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	2.7354263889371224
00848|Leucocin C (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	1.9107737664452968
00849|Lactococcin MMFII (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	-0.5325627577447012
00850|Sakacin G (SakG, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	0.9790232155600214
00851|Plantaricin 423 (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	2.97702521356202
00852|Plantaricin C19 (class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	4.888842024408431
00853|Enterocin P (EntP, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	0.8648617159610699
00854|Bacteriocin 31 (Bac 31, Bac31, class 2a bacteriocin, pediocin-like peptide, Gram-positive bacteria, prokaryotes)	3.860165012030701
00865|lactococcin B (LcnB, bacteriocin, Gram-positive bacteria, prokaryotes)	1.5344696333340666
00923|Carnobacteriocin B1 (Cbn B1, XXO, class 2a bacteriocin, Gram-positive bacteria, prokaryotes)	1.862873713863069
00927|Butyrivibriocin AR10 (BviA; XXC; UCBB1a; class 2c bacteriocin, Gram-positive bacteria, prokaryotes)	-2.237843404954801
00928|Subtilosin A (SboA; XXC; sactipeptide; class 2c bacteriocin, 3S=CA; UCBB1c; Gram-positive bacteria, prokaryotes; ZZS)	-2.2655483732538286
00929|Enterocin AS-48 (AS48, class 2c bacteriocin, Gram-positive bacteria, prokaryotes; XXC; UCBB1a; BBBh2o; Natural variants: enterocin 4, bacteriocin 21, bacteriocin-21, Bac-21; enterococcin EFS2)	5.502585526643175
00930|Plantaricin ASM1 (PASM1, Plantaricin A1; Plantaricin A-1; bacteriocin; Gram-positive bacteria, prokaryotes)	-0.03263225665530367
00931|Uberolysin (UblA; XXC, class 2c circular bacteriocin; UCBB1a; Gram-positive bacteria, prokaryotes)	2.7564608901158287
00932|Acidocin B (XXC, class 2c circular bacteriocin; UCBB1a; Gram-positive bacteria, prokaryotes)	-0.15249067757442392
00995|Carnocin UI49 (lantibiotic, class 1 bacteriocins; Gram-positive bacteria, prokaryotes;  UCSS1b; BWQ)	-0.23709792373748817
00996|Lichenin (bacteriocin; Gram-positive bacteria, prokaryotes)	-2.1586939647420653
00997|Nisin Q (lantibiotic,  type 1, class 1 bacteriocins; Gram-positive bacteria, prokaryotes; XXT;  UCSS1b; XXW3)	2.794773848951838
00998|Lactococcin Z (LcnZ, class 2d bacteriocins, Gram-positive bacteria, prokaryotes)	1.8770547701146685
01000|Variacin (lantibiotic, type 2, class 1 bacteriocins; Gram-positive bacteria, prokaryotes;  UCSS1b; XXT)	-1.092442517625343
01001|Mutacin II (lantibiotic, mutacin H-29B, J-T8, type 2, class 1 bacteriocins; Gram-positive bacteria, prokaryotes;  UCSS1b; XXT3)	0.8193642933210672
01002| Mutacin 1140 (Mutacin III; MU1140-S; lantibiotic, class 1 bacteriocins; Gram-positive bacteria, prokaryotes; XXT; UCSS1b; BBW)	1.7184896518952604
01003|Mutacin, or Mutacin B-Ny266 (lantibiotic, class 1 bacteriocins; Gram-positive bacteria, prokaryotes; UCSS1b; XXT)	1.7175006507962602
01004|Thuricin S (Thuricin-S, class 2d bacteriocins; Gram-positive bacteria, prokaryotes, BWQ)	-2.2458681529966524
01131|Aureocin A53 (AucA, class 2 bacteriocin; Gram-positive bacteria, prokaryotes; XXI; BBMm)	7.492988598500753
01137|Siamycin I (MS-271; BMY 29304;  lactam; a class 1 lasso peptide, 2S=S; XXJ; UCSB1a; bacteriocins, Gram-positive bacteria, prokaryotes, ZZHb)	-1.2793805862658933
